Time,Watt
0,0
17,0.3454
34,10.9567
51,5.4905
68,4.3816
85,1.9413
102,1.0725
119,2.661
136,6.7633
153,4.3895
170,3.4541
187,3.9959
204,4.1449
221,5.8783
238,12.8357
255,12.6343
272,12.5265
289,11.9249
306,9.2174
323,6.863
340,6.9082
357,7.462
374,7.599
391,8.273
408,15.2898
425,17.6565
442,8.9806
459,9.5864
476,15.6714
493,10.4051
510,10.3623
527,10.8083
544,11.0531
561,11.5349
578,20.7439
595,20.2999
612,10.4347
629,12.9149
646,13.1255
663,13.6211
680,13.8163
697,24.2739
714,24.5072
731,14.9716
748,15.198
765,15.6916
782,15.8888
799,36.377
816,16.5796
833,17.024
850,1.2704
867,0.774
884,7.9612
901,2.5227
918,3.6521
935,9.234
952,19.3429
969,19.8837
986,35.0337
1003,20.6461
1020,20.7245
1037,21.2577
1054,21.4153
1071,32.9037
1088,10.1061
1105,15.5166
1122,20.797
1139,23.351
1156,23.4878
1173,23.9547
1190,24.1786
1207,24.7021
1224,24.8694
1241,45.307
1258,30.5602
1275,25.9719
1292,26.251
1309,26.8351
1326,3.9419
1343,5.4482
1360,7.6327
1377,28.0763
1394,28.3235
1411,50.8033
1428,95.0143
1445,90.5715
1462,85.7051
1479,70.2817
1496,70.3959
1513,70.8419
1530,61.0868
1547,65.5732
1564,31.7776
1581,32.2063
1598,32.123
1615,32.9933
1632,33.1592
1649,33.8786
1666,63.85
1683,64.3953
1700,44.5408
1717,35.0873
1734,34.8862
1751,35.6008
1768,35.9225
1785,76.4893
1802,90.6133
1819,100.0123
1836,97.3041
1853,21.8479
1870,17.9949
1887,38.4537
1904,38.6857
1921,39.3202
1938,69.3766
1955,39.722
1972,70.0674
1989,85.4128
2006,60.7582
2023,55.1036
2040,91.449
2057,100.7944
2074,95.1398
2091,95.4852
2108,90.8306
2125,98.176
2142,43.5215
2159,30.8669
2176,24.2123
2193,22.5577
2210,15.9031
2227,10.2485
2244,10.5939
2261,14.9393
2278,30.2847
2295,46.6301
2312,46.9755
2329,55.3209
2346,70.6664
2363,65.0118
2380,48.3572
2397,48.7026
2414,55.048
2431,49.3934
2448,49.7388
2465,108.0842
2482,80.4296
2499,50.775
2516,22.1204
2533,51.4658
2550,51.8113
2567,52.1567
2584,52.5021
2601,52.8475
2618,63.1929
2635,60.5383
2652,33.8837
2669,25.2291
2686,18.5745
2703,20.9199
2720,22.2653
2737,55.6107
2754,55.9562
2771,66.3016
2788,56.647
2805,56.9924
2822,57.3378
2839,57.6832
2856,58.0286
2873,58.374
2890,58.7194
2907,59.0648
2924,60.4102
2941,59.7556
2958,60.1011
2975,60.4465
2992,60.7919
3009,61.1373
3026,21.4827
3043,11.8281
3060,22.1735
3077,22.5189
3094,62.8643
3111,70.2097
3128,69.5551
3145,65.9005
3162,74.246
3179,66.5914
3196,64.9368
3213,65.2822
3230,65.6276
3247,65.973
3264,86.3184
3281,66.6638
3298,87.0092
3315,67.3546
3332,70.7
3349,68.0454
3366,75.3909
3383,58.7363
3400,39.0817
3417,69.4271
3434,69.7725
3451,70.1179
3468,87.4633
3485,69.8087
3502,91.1541
3519,61.4995
3536,51.8449
3553,51.1903
3570,51.5358
3587,80.8812
3604,101.2266
3621,93.572
3638,73.9174
3655,74.2628
3672,78.6082
3689,76.9536
3706,85.299
3723,97.6444
3740,109.9898
3757,108.3352
3774,108.6807
3791,108.0261
3808,98.3715
3825,77.7169
3842,78.0623
3859,78.4077
3876,58.7531
3893,39.0985
3910,30.4439
3927,33.7893
3944,35.1347
3961,35.4801
3978,40.8256
3995,61.171
4012,71.5164
4029,72.8618
4046,72.2072
4063,72.5526
4080,92.898
4097,103.2434
4114,101.5888
4131,108.9342
4148,94.2796
4165,94.625
4182,83.9705
4199,85.3159
4216,85.6613
4233,100.0067
4250,106.3521
4267,96.6975
4284,87.0429
4301,99.3883
4318,87.7337
4335,88.0791
4352,88.4245
4369,88.7699
4386,63.1154
4403,49.4608
4420,79.8062
4437,90.1516
4454,78.497
4471,65.8424
4488,40.1878
4505,71.5332
4522,91.8786
4539,92.224
4556,92.5694
4573,92.9148
4590,87.2603
4607,93.6057
4624,75.9511
4641,94.2965
4658,94.6419
4675,94.9873
4692,105.3327
4709,110.6781
4726,96.0235
4743,96.3689
4760,96.7143
4777,95.0597
4794,97.4052
4811,87.7506
4828,98.096
4845,98.4414
4862,98.7868
4879,99.1322
4896,99.4776
4913,99.823
4930,100.1684
4947,110.5138
4964,106.8592
4981,102.2046
4998,101.5501
5015,101.8955
5032,104.2409
5049,73.5863
5066,95.9317
5083,103.2771
5100,103.6225
5117,83.9679
5134,94.3133
5151,84.6587
5168,85.0041
5185,100.3496
5202,105.695
5219,106.0404
5236,106.3858
5253,78.7312
5270,48.0766
5287,67.422
5304,77.7674
5321,89.1128
5338,110.4582
5355,108.8036
5372,99.149
5389,89.4945
5406,110.8399
5423,110.1853
