Time,Watt
0,0
20,0
40,17.5036
60,14.5917
80,14.389
100,14.3762
120,14.2835
140,13.6807
160,13.7779
180,13.5752
200,12.9724
220,12.8697
240,13.1669
260,13.2641
280,12.3614
300,13.4586
320,11.5559
340,11.4531
360,11.2004
380,11.147
400,11.046
420,11.042
440,11.0393
460,11.019
480,10.9987
500,0
520,0
540,0
560,0
580,0
600,0
620,0
640,0
660,0
680,0
700,0
720,0
740,0
760,0
780,0
800,0
820,0
840,0
860,0
880,0
900,0
920,0
940,0
960,0
980,0
1000,0
1020,0
1040,17.5036
1060,14.5917
1080,14.389
1100,14.3762
1120,14.2835
1140,13.6807
1160,13.7779
1180,13.5752
1200,12.9724
1220,12.8697
1240,13.1669
1260,13.2641
1280,12.3614
1300,13.4586
1320,11.5559
1340,11.4531
1360,11.2004
1380,11.147
1400,11.046
1420,11.042
1440,11.0393
1460,11.019
1480,10.9987
1500,0
1520,0
1540,0
1560,0
1580,0
1600,0
1620,0
1640,0
1660,0
1680,0
1700,0
1720,0
1740,0
1760,0
1780,0
1800,0
1820,0
1840,0
1860,0
1880,0
1900,0
1920,0
1940,0
1960,0
1980,0
2000,0
2020,0
2040,17.5036
2060,14.5917
2080,14.389
2100,14.3762
2120,14.2835
2140,13.6807
2160,13.7779
2180,13.5752
2200,12.9724
2220,12.8697
2240,13.1669
2260,13.2641
2280,12.3614
2300,13.4586
2320,11.5559
2340,11.4531
2360,11.2004
2380,11.147
2400,11.046
2420,11.042
2440,11.0393
2460,11.019
2480,10.9987
2500,0
2520,0
2540,0
2560,0
2580,0
2600,0
2620,0
2640,0
2660,0
2680,0
2700,0
2720,0
2740,0
2760,0
2780,0
2800,0
2820,0
2840,0
2860,0
2880,0
2900,0
2920,0
2940,0
2960,0
2980,0
3000,0
3020,0
3040,17.5036
3060,14.5917
3080,14.389
3100,14.3762
3120,14.2835
3140,13.6807
3160,13.7779
3180,13.5752
3200,12.9724
3220,12.8697
3240,13.1669
3260,13.2641
3280,12.3614
3300,13.4586
3320,11.5559
3340,11.4531
3360,11.2004
3380,11.147
3400,11.046
3420,11.042
3440,11.0393
3460,11.019
3480,10.9987
3500,0
3520,0
3540,0
3560,0
3580,0
3600,0
