Time,Watt
0,0
20,0.0703
40,0.3155
60,0.7689
80,1.4026
100,2.1885
120,3.0976
140,4.1001
160,15.1659
180,16.2652
200,10.369
220,8.4498
240,9.4825
260,10.4468
280,11.3267
300,12.1106
320,15.7923
340,16.3694
360,17.8421
380,17.2121
400,14.4824
420,14.6578
440,16.7443
460,9.7473
480,8.6717
500,10.5224
520,12.3044
540,1.0228
560,0.6825
580,13.2886
600,12.8461
620,12.3608
640,17.838
660,18.2826
680,10.6986
700,10.09
720,9.4608
740,8.8149
760,8.1564
780,7.4892
800,6.8174
820,6.145
840,5.4768
860,9.8171
880,11.1703
900,13.5403
920,10.9309
940,7.3459
960,1.7887
980,1.2623
1000,9.7697
1020,4.3138
1040,10.0179
1060,11.081
1080,4.4593
1100,9.9992
1120,1.6323
1140,6.291
1160,4.9198
1180,3.4802
1200,3.9496
1220,9.3184
1240,12.5912
1260,16.7824
1280,16.9104
1300,15.9954
1320,13.0562
1340,10.1097
1360,12.1712
1380,8.2545
1400,5.3701
1420,7.5285
1440,5.7366
1460,6.9979
1480,6.3122
1500,6.675
1520,17.0793
1540,13.5141
1560,15.9662
1580,8.4194
1600,6.8565
1620,4.2595
1640,2.6122
1660,0.8992
1680,5.1056
1700,9.2186
1720,10.2279
1740,10.1266
1760,9.9123
1780,9.5898
1800,9.1686
1820,8.6627
1840,8.0898
1860,10.4702
1880,6.8258
1900,6.1792
1920,5.5542
1940,4.9739
1960,0.4624
1980,4.0425
2000,6.7343
2020,3.5458
2040,3.4729
2060,3.5097
2080,9.6472
2100,13.8757
2120,14.1853
2140,14.5665
2160,9.0102
2180,5.5069
2200,6.0479
2220,6.6141
2240,7.1853
2260,7.739
2280,8.253
2300,8.7056
2320,9.076
2340,9.345
2360,11.4972
2380,10.5255
2400,13.4329
2420,18.2292
2440,16.9296
2460,13.5541
2480,10.124
2500,7.6609
2520,7.1876
2540,6.7271
2560,6.3003
2580,9.9275
2600,5.6262
2620,2.41
2640,7.2886
2660,5.2672
2680,5.3465
2700,10.5229
2720,15.7876
2740,9.1286
2760,6.5298
2780,6.971
2800,7.4285
2820,7.8772
2840,8.2933
2860,8.6553
2880,8.9457
2900,9.1527
2920,11.2718
2940,9.3087
2960,16.2742
2980,18.1834
3000,9.0566
3020,8.9183
3040,10.794
3060,8.7061
3080,8.6702
3100,8.6927
3120,13.7669
3140,15.8792
3160,9.0006
3180,9.0989
3200,10.1458
3220,13.1165
3240,18.9912
3260,12.7801
3280,8.5115
3300,8.235
3320,7.9986
3340,9.8442
3360,10.7975
3380,7.8667
3400,8.0389
3420,8.2942
3440,12.6005
3460,14.9181
3480,5.2041
3500,9.4178
3520,9.5279
3540,9.5103
3560,10.3562
3580,15.0802
3600,18.7133
